recipe_recipe_id,tips_tips_id
1,1
1,9
2,2
2,36
3,2
3,27
4,3
4,27
5,42
5,40
6,16
6,21
7,4
7,44
8,13
8,34
9,5
9,8
10,6
10,37
11,32
11,4
12,29
12,13
13,24
13,38
14,32
14,12
15,13
15,26
16,41
16,10
17,14
17,3
18,36
18,28
19,36
19,32
20,34
20,14
21,29
21,14
22,18
22,32
23,23
23,18
24,7
24,6
25,23
25,2
26,35
26,18
27,22
27,13
28,17
28,21
29,32
29,21
30,32
30,34
31,35
31,9
32,24
32,28
33,44
33,21
34,8
34,26
35,3
35,4
36,21
36,32
37,1
37,35
38,2
38,5
39,14
39,24
40,4
40,10
41,21
41,17
42,32
42,41
43,17
43,28
44,22
44,32
45,1
45,26
46,18
46,35
47,34
47,33
48,3
48,1
49,5
49,39
50,37
50,40
51,44
51,36
52,25
52,36
53,44
53,33
54,26
54,30
55,9
55,28
56,27
56,13
57,27
57,12
58,10
58,33
59,20
59,17
60,34
60,4
61,11
61,16
62,30
62,28
63,8
63,41
64,12
64,13
65,13
65,8
66,14
66,36
67,32
67,29
68,11
68,2
69,15
69,20
70,38
70,41
71,21
71,36
72,16
72,10
73,15
73,40
74,17
74,37
75,18
75,29
76,19
76,43
78,21
78,29
79,22
79,18
80,23
80,36
81,11
81,1
82,24
82,20
83,25
83,6
84,26
84,30
85,32
85,40
86,25
86,4
87,8
87,39
89,28
89,6
90,29
90,4
91,29
91,39
92,25
92,35
93,30
93,36
94,31
94,33
95,32
95,40
96,33
96,34
97,34
97,9
98,19
98,43
99,29
99,36
100,35
100,25
101,29
101,25
102,35
102,20
103,12
103,26
104,36
104,12
105,26
105,2
106,36
106,15
107,37
107,2
108,31
108,2
109,27
109,41
110,28
110,43
111,6
111,15
112,38
112,40
113,39
113,18
114,3
114,10
115,40
115,31
116,35
116,39
117,37
117,20
118,8
118,9
119,42
119,4
120,41
120,11
121,32
121,11
122,31
122,13
124,40
124,25
125,5
125,14
126,2
126,22
127,24
127,15
128,44
128,38
130,44
130,31
131,10
131,25
132,12
132,37
133,1
133,6
134,25
134,5
135,15
135,35
136,22
136,40
137,18
137,2
138,13
138,10
139,1
139,40
140,17
140,33
141,3
141,19
142,6
142,29
143,9
143,25
144,17
144,4
145,7
145,35
