subject_id,subject_name,subject_desc,subject_img
1,Italian Classics,Recipes for traditional Italian dishes like lasagna and spaghetti.,https://picsum.photos/674/841
2,Breakfast Delights,Start your day with delicious breakfast recipes like pancakes and French toast.,https://dummyimage.com/200x54
3,Comfort Food Favorites,"Warm and satisfying comfort food recipes, perfect for cozy nights in.",https://placekitten.com/29/1019
4,Healthy Eating,Nutritious and delicious recipes for a balanced diet.,https://placekitten.com/674/50
5,Vegetarian Delights,Meat-free recipes packed with flavor and goodness.,https://placekitten.com/352/922
6,Quick and Easy Meals,"Simple recipes that are ready in no time, perfect for busy weeknights.",https://placekitten.com/74/1022
7,Summer BBQ,Grilled recipes and summer favorites for outdoor gatherings.,https://dummyimage.com/900x875
8,Family Favorites,"Recipes loved by the whole family, from kids to adults.",https://dummyimage.com/807x185
9,One-Pot Wonders,"Easy recipes that require only one pot or pan, for minimal cleanup.",https://placekitten.com/1001/804
10,Dessert Extravaganza,Indulgent dessert recipes to satisfy your sweet tooth.,https://dummyimage.com/789x502
11,Holiday Specials,Festive recipes perfect for holiday celebrations.,https://picsum.photos/94/55
12,Asian Cuisine,Delicious recipes inspired by Asian flavors and ingredients.,https://picsum.photos/536/218
13,Mediterranean Feasts,Healthy and flavorful recipes from the Mediterranean region.,https://dummyimage.com/307x791
14,Slow Cooker Creations,Tasty recipes that simmer all day in the slow cooker for maximum flavor.,https://dummyimage.com/501x662
15,Gluten-Free Goodness,Recipes that are gluten-free and delicious for those with dietary restrictions.,https://picsum.photos/657/313
16,Soup Season,Warm and comforting soup recipes for chilly days.,https://picsum.photos/429/319
17,Appetizer Heaven,Tasty appetizers and finger foods perfect for parties and gatherings.,https://placekitten.com/481/650
18,Seafood Sensations,Delicious seafood recipes featuring fresh fish and shellfish.,https://picsum.photos/537/849
19,Vegan Vibes,Plant-based recipes that are vegan-friendly and full of flavor.,https://dummyimage.com/523x214
20,Holiday Baking,Bake up a storm with these festive holiday baking recipes.,https://placekitten.com/831/904
